s,Source,Context,Max Line Width,English,Francais,German
quest,,Category,,Quest,,
challenge,,Category,,Challenge,,
treasure,,Category,,Treasure,,
bonus,,Category,,Bonus,,
questChain,,Category,,Quest Chain,,
difficulty_veryeasy,,Difficulty,,Very Easy,,
difficulty_easy,,Difficulty,,Easy,,
difficulty_medium,,Difficulty,,Medium,,
difficulty_hard,,Difficulty,,Hard,,
difficulty_insane,,Difficulty,,Insane,,
started,,Keywords,,Started,,
completed,,Keywords,,Completed,,
failed,,Keywords,,Failed,,
optional,,Keywords,,Optional,,
RewardTypeQuest,,Keywords,,Reward,,
RewardTypeChainQuest,,Keywords,,Chain Reward,,
ObjectiveAnimalKill_keyword,,Keywords,,Kill,,
ObjectiveAssemble_keyword,,Keywords,,Assemble,,
ObjectiveBlockPickup_keyword,,Keywords,,Pickup,,
ObjectiveBlockPlace_keyword,,Keywords,,Place,,
ObjectiveBlockUpgrade_keyword,,Keywords,,Upgrade,,
ObjectiveBuff_keyword,,Keywords,,Get,,
ObjectiveCraft_keyword,,Keywords,,Craft,,
ObjectiveFetch_keyword,,Keywords,,Gather,,
ObjectiveExchangeItemFrom_keyword,,Keywords,,Fill,,
ObjectiveOpenWindow_keyword,,Keywords,,Open {0} Window,,
ObjectiveRepair_keyword,,Keywords,,Repair,,
ObjectiveScrap_keyword,,Keywords,,Scrap,,
ObjectiveSpendSkillPoints_keyword,,Keywords,,Purchase {0} Skill Level(s),,
ObjectiveTime_keyword,,Keywords,,Time,,
ObjectiveTreasureChest_keyword,,Keywords,,Treasure Found,,
ObjectiveWear_keyword,,Keywords,,Wear,,
ObjectiveZombieKill_keyword,,Keywords,,Kill,,
RequirementBuff_keyword,,Keywords,,Effect,,
RequirementHolding_keyword,,Keywords,,Using,,
RequirementLevel_keyword,,Keywords,,Level,,
RequirementWearing_keyword,,Keywords,,Wear,,
RewardExp_keyword,,Keywords,,EXP,,
RewardLevel_keyword,,Keywords,,Level,,
RewardQuest_keyword,,Keywords,,New Quest,,
RewardRecipe_keyword,,Keywords,,Recipe Unlocked,,
RewardSkill_keyword,,Keywords,,Skill,,
RewardSkillPoint_keyword,,Keywords,,Skill Point,,
requirementGroupFireaxe,,Requirement Group,,Holding any Axe,,
requirementGroupShotgun,,Requirement Group,,Holding any Shotgun,,
