Key,Source,Context,Max Line Width,English,Francais,German
clubWood,items,Item Melee,,Wooden Club,,
clubWoodDesc,items,Item Melee,,A wooden club. Good for breaking knees and skulls.,,
clubIron,items,Item Melee,,Iron Reinforced Club,,
clubIronDesc,items,Item Melee,,"Like a wooden club, but more durable and does more damage.",,
clubSpiked,items,Item Melee,,Spiked Club,,
clubSpikedDesc,items,Item Melee,,A badass club with sharp spikes. Added chance for bleeding.,,
clubBarbed,items,Item Melee,,Barbed Club,,
clubBarbedDesc,items,item Melee,,A club with barbs. Added chance for bleeding.,,
femur,items,Item,,Large Bone,,
femurDesc,items,Item,,A rather ordinary femur. It could be useful.,,
shockingClub,items,Item,,Shocking Club,,
shockingClubDesc,items,Item,,A interesting weapon, with electricity damage. Added chance for stunning.,,
shockingSpikedClub,items,Item,,Shocking Spiked Club,,
shockingSpikedClubDesc,items,Item,,A modificated Spiked Club with electricity. Added chance for stunning.,,
tPXBat,items,Item,,TPX Bat,,
tPXBatDesc,items,Item,,A wanderful weapon to play baseball with eggs of your enemy.,,
goodNightBat,items,Item,,GoodNight Bat,,
goodNightBatDesc,items,Item,,Good time to say "GOOOODNIGHT!".,,
stoneAxe,items,Item Tool,,Stone Axe,,
stoneAxeDesc,items,Item Tool,,"A primitive tool useful for cutting wood. Not the best weapon.",,
tazasStoneaxe,items,Item Melee,,Taza's Stone Axe,,
tazasStoneaxeDesc,items,Item Melee,,"Taza's stone axe is a rare, powerful, ancient Indian artifact. The Apache believed those who wielded it were invincible in battle.",,
copperAxe,items,Item Tool,,Copper Axe,,
copperAxeDesc,items,Item Tool,,"More usefull tools then stone tool.",,
bronzeAxe,items,Item Tool,,Bronze Axe,,
bronzeAxeDesc,items,Item Tool,,"Tool from first alloy of humanity. Can be a simple weapon.",,
ironAxe,items,Item Tool,,Iron Axe,,
ironAxeDesc,items,Item Tool,,The fireaxe is good for cutting wood and has a better chance to dismember than most weapons.,,
brassAxe,items,Item Tool,,Brass Axe,,
brassAxeDesc,items,Item Tool,,Durability and quality axe, wich can cutting wood and flesh, the same.,,
steelAxe,items,Item Tool,,Steel Axe,,
steelAxeDesc,items,Item Tool,,This item more weapon then tool.,,
titaniumAxe,items,Item Tool,,Titanium Axe,,
titaniumAxeDesc,items,Item Tool,,Tools from very strong metal.,,
stonePickaxe,items,Item Tool,,Stone Pickaxe,,
stonePickaxeDesc,items,Item Tool,,"A primitive tool useful for harvesting resource like stone and ores. Not the weapon.",,
copperPickaxe,items,Item Tool,,Copper Pickaxe,,
copperPickaxeDesc,items,Item Tool,,"More usefull tools then stone tool.",,
bronzePickaxe,items,Item Tool,,Bronze Pickaxe,,
bronzePickaxeDesc,items,Item Tool,,"Tool from first alloy of humanity. Can be a simple weapon.",,
ironPickaxe,items,Item Tool,,Iron Pickaxe,,
ironPickaxeDesc,items,Item Tool,,The Pickaxe is good for harvesting ore.,,
brassPickaxe,items,Item Tool,,Brass Pickaxe,,
brassPickaxeDesc,items,Item Tool,,Strong and quality Pickaxe, wich can harvesting resource and cracking skulls.,,
steelPickaxe,items,Item Tool,,Steel Pickaxe,,
steelPickaxeDesc,items,Item Tool,,This item more weapon then tool.,,
titaniumPickaxe,items,Item Tool,,Titanium Pickaxe,,
titaniumPickaxeDesc,items,Item Tool,,Tools from very strong metal.,,
copperSledgehammer,items,Item Tool,,Copper Sledgehammer,,
copperSledgehammerDesc,items,Item Tool,,"More usefull tools then wood club.",,
bronzeSledgehammer,items,Item Tool,,Bronze Sledgehammer,,
bronzeSledgehammerDesc,items,Item Tool,,"Tool from first alloy of humanity. Can be a simple weapon.",,
ironSledgehammer,items,Item Tool,,Iron Sledgehammer,,
ironSledgehammerDesc,items,Item Tool,,The sledgehammer is one of the best weapons for cracking skulls with a better chance to score a critical blow.,,
brassSledgehammer,items,Item Tool,,Brass Sledgehammer,,
brassSledgehammerDesc,items,Item Tool,,Strong and quality Sledgehammer.,,
steelSledgehammer,items,Item Tool,,Steel Sledgehammer,,
steelSledgehammerDesc,items,Item Tool,,This item more weapon then tool.,,
titaniumSledgehammer,items,Item Tool,,Titanium Sledgehammer,,
titaniumSledgehammerDesc,items,Item Tool,,Tools from very strong metal.,,
stoneShovel,items,Item Tool,,Stone Shovel,,
stoneShovelDesc,items,Item Tool,,"The stone shovel is a primitive tool useful for digging dirt, sand or snow. Not the weapon.",,
copperShovel,items,Item Tool,,Copper Shovel,,
copperShovelDesc,items,Item Tool,,"More usefull tools then stone tool.",,
bronzeShovel,items,Item Tool,,Bronze Shovel,,
bronzeShovelDesc,items,Item Tool,,"Tool from first alloy of humanity. Can be a simple weapon.",,
ironShovel,items,Item Tool,,Iron Shovel,,
ironShovelDesc,items,Item Tool,,"The iron shovel is great for digging through earth, sand or snow.",,
brassShovel,items,Item Tool,,Brass Shovel,,
brassShovelDesc,items,Item Tool,,Strong and quality Shovel.,,
steelShovel,items,Item Tool,,Steel Shovel,,
steelShovelDesc,items,Item Tool,,"The steel shovel is very durable and the ideal tool for digging through earth, sand or snow.",,
titaniumShovel,items,Item Tool,,Titanium Shovel,,
titaniumShovelDesc,items,Item Tool,,Tools from very strong metal.,,
stoneHoe,items,Item Tool,,Stone Hoe,,
stoneHoeDesc,items,Item Tool,,"A primitive tool useful for working with soil. Not the weapon.",,
copperHoe,items,Item Tool,,Copper Hoe,,
copperHoeDesc,items,Item Tool,,"More usefull tools then stone tool.",,
bronzeHoe,items,Item Tool,,Bronze Hoe,,
bronzeHoeDesc,items,Item Tool,,"Tool from first alloy of humanity. Can be a simple weapon.",,
ironHoe,items,Item Tool,,Iron Garden Hoe,,
ironHoeDesc,items,Item Tool,,The iron gardening hoe is great tool for turning poor soil into fertile soil for planting crops.,,
brassHoe,items,Item Tool,,Brass Hoe,,
brassHoeDesc,items,Item Tool,,Strong and quality Hoe.,,
steelHoe,items,Item Tool,,Steel Garden Hoe,,
steelHoeDesc,items,Item Tool,,The steel garden hoe is the best tool for turning poor soil into fertile soil for planting crops.,,
titaniumHoe,items,Item Tool,,Titanium Hoe,,
titaniumHoeDesc,items,Item Tool,,Tools from very strong metal.,,
stoneHammer,items,Item Tool,,Stone Hammer,,
stoneHammerDesc,items,Item Tool,,"A primitive tool useful for building and upgrading. Can worcks with: Wood Plank, Scrap Iron, Stick, Empty Jar.",,
ironHammer,items,Item Tool,,Claw Hammer,,
ironHammerDesc,items,Item Tool,,The claw hammer is great for repairing and upgrading base walls and not bad as a weapon. Can worcks with: Wood Plank, Scrap Iron, Forged Iron, Blade, Lead Car Battery, Forged Copper, Empty Jar, Stick, Steel Ingot, Forged Steel.,,
ironWrench,items,Item Tool,,Wrench,,
ironWrenchDesc,items,Item Tool,,"Great for disassembling mechanical devices like cars, air conditioners and more. Can also be used to repair and upgrade walls. Can worcks with: Wood Plank,Scrap Iron, Forged Iron, Steel Ingot, Short Metal Pipe.",,
lockPick,items,Item Tool,,LockPick,,
lockPickDesc,items,Item Tool,,For opening safe's.,,
torch,items,Item,,Torch,,
torchDesc,items,Item,,This torch can be used as a light source or weapon with a chance to catch enemies on fire. Place with secondary action.,,
candle,items,Item,,Candle,,
candleDesc,items,Item,,A candle made of tallow and plant fibers can be carried or placed for a light source.,,
auger,items,Item Tool,,Auger,,
augerDesc,items,Item Tool,,Rock out with your auger out and be the envy of every miner when they see you sporting this sexy gas-powered auger.,,
chainsaw,items,Item Tool,,Chainsaw,,
chainsawDesc,items,Item Tool,,Chop down the biggest trees or zombies faster than Paul Bunyan with this great chainsaw that uses gasoline for fuel.,,
nailgun,items,Item Tool,,Nailgun,,
nailgunDesc,items,Item Tool,,The nail gun is the best tool for repairing and upgrading base walls and not a bad weapon to boot if you have nails.,,
electroDrill,items,Item Tool,,Electro Drill,,
electroDrillDesc,items,Item Tool,,The Electro Drill is the best tool for repairing and upgrading base walls and not a bad weapon to boot if you have battery.,,
electroSaw,items,Item Tool,,Electro Saw,,
electroSawDesc,items,Item Tool,,The Electro Saw is the best tool for cutting iron walls and not a bad weapon to boot if you have battery.,,
fishingRod,items,Item Tool,,Fishing Rod,,
fishingRodDesc,items,Item Tool,,Old tool for self feeding. Now need use the bait,,
fishingRodbait,items,Item Tool,,Fishing Rod With bait,,
fishingRodbaitDesc,items,Item Tool,,Lets fising. Go to water.,,
bucket,items,Item,,Bucket,,
bucketDesc,items,Item,,An empty bucket can be used to fill up and transport water.,,
bucketWater,items,Item ,,Bucket of Water,,
bucketWaterDesc,items,Item ,,Water can be dumped into an enclosed structure or hole in the ground to store it.,,
concreteMix,items,Item,,Concrete Mix,,
concreteMixDesc,items,Item,,Can be used as a resource to make rebar frames into solid concrete walls once you've bought the concrete perk.,,
boneShiv,items,Item,,Bone Shiv,,
boneShivDesc,items,Item,,This primitive makeshift weapon is also useful for gutting animals.,,
